year,substance,mentioned,deaths
2019,05 Tramadol,On the death certificate,201
2019,05 Tramadol,With alcohol,40
2019,05 Tramadol,Without alcohol,161
2019,05 Tramadol,Without other drugs,70
2019,06 Codeine not from compound formulation,On the death certificate,167
2019,06 Codeine not from compound formulation,With alcohol,39
2019,06 Codeine not from compound formulation,Without alcohol,128
2019,06 Codeine not from compound formulation,Without other drugs,38
2019,07 Dihydrocodeine not from compound formulation,On the death certificate,102
2019,07 Dihydrocodeine not from compound formulation,With alcohol,14
2019,07 Dihydrocodeine not from compound formulation,Without alcohol,88
2019,07 Dihydrocodeine not from compound formulation,Without other drugs,26
2019,08 Oxycodone,On the death certificate,95
2019,08 Oxycodone,With alcohol,16
2019,08 Oxycodone,Without alcohol,79
2019,08 Oxycodone,Without other drugs,32
2019,09 Fentanyl,On the death certificate,59
2019,09 Fentanyl,With alcohol,7
2019,09 Fentanyl,Without alcohol,52
2019,09 Fentanyl,Without other drugs,18
2019,10 Fentanyl analogues,On the death certificate,1
2019,10 Fentanyl analogues,Without alcohol,1
2019,11 Buprenorphine,On the death certificate,30
2019,11 Buprenorphine,With alcohol,9
2019,11 Buprenorphine,Without alcohol,21
2019,11 Buprenorphine,Without other drugs,5
2019,12 Other specified opiate,On the death certificate,17
2019,12 Other specified opiate,With alcohol,6
2019,12 Other specified opiate,Without alcohol,11
2019,12 Other specified opiate,Without other drugs,5
2019,13 Unspecified opiate,On the death certificate,160
2019,13 Unspecified opiate,With alcohol,22
2019,13 Unspecified opiate,Without alcohol,138
2019,13 Unspecified opiate,Without other drugs,89
2019,14 Cocaine,On the death certificate,708
2019,14 Cocaine,With alcohol,175
2019,14 Cocaine,Without alcohol,533
2019,14 Cocaine,Without other drugs,224
2019,15 Any amphetamine,On the death certificate,185
2019,15 Any amphetamine,With alcohol,20
2019,15 Any amphetamine,Without alcohol,165
2019,15 Any amphetamine,Without other drugs,94
2019,16 Amphetamine,On the death certificate,99
2019,16 Amphetamine,With alcohol,7
2019,16 Amphetamine,Without alcohol,92
2019,16 Amphetamine,Without other drugs,41
2019,17 Ecstasy/MDMA,On the death certificate,78
2019,17 Ecstasy/MDMA,With alcohol,13
2019,17 Ecstasy/MDMA,Without alcohol,65
2019,17 Ecstasy/MDMA,Without other drugs,44
2019,19 Cannabis,On the death certificate,31
2019,19 Cannabis,With alcohol,10
2019,19 Cannabis,Without alcohol,21
2019,19 Cannabis,Without other drugs,7
2019,20 New psychoactive substance,On the death certificate,125
2019,20 New psychoactive substance,With alcohol,24
2019,20 New psychoactive substance,Without alcohol,101
2019,20 New psychoactive substance,Without other drugs,53
2019,21 Any benzodiazepine,On the death certificate,399
2019,21 Any benzodiazepine,With alcohol,108
2019,21 Any benzodiazepine,Without alcohol,291
2019,21 Any benzodiazepine,Without other drugs,23
2019,22 Diazepam,On the death certificate,243
2019,22 Diazepam,With alcohol,67
2019,22 Diazepam,Without alcohol,176
2019,22 Diazepam,Without other drugs,6
2019,23 Temazepam,On the death certificate,14
2019,23 Temazepam,With alcohol,2
2019,23 Temazepam,Without alcohol,12
2019,23 Temazepam,Without other drugs,2
2019,24 Zopiclone/Zolpidem,On the death certificate,140
2019,24 Zopiclone/Zolpidem,With alcohol,31
2019,24 Zopiclone/Zolpidem,Without alcohol,109
2019,24 Zopiclone/Zolpidem,Without other drugs,20
2019,25 Pregabalin,On the death certificate,244
2019,25 Pregabalin,With alcohol,36
2019,25 Pregabalin,Without alcohol,208
2019,25 Pregabalin,Without other drugs,3
2019,26 Gabapentin,On the death certificate,89
2019,26 Gabapentin,With alcohol,14
2019,26 Gabapentin,Without alcohol,75
2019,26 Gabapentin,Without other drugs,6
2019,27 Barbiturates,On the death certificate,39
2019,27 Barbiturates,With alcohol,4
2019,27 Barbiturates,Without alcohol,35
2019,27 Barbiturates,Without other drugs,33
2019,28 Any antipsychotics,On the death certificate,142
2019,28 Any antipsychotics,With alcohol,39
2019,28 Any antipsychotics,Without alcohol,103
2019,28 Any antipsychotics,Without other drugs,42
2019,29 Quetiapine,On the death certificate,66
2019,29 Quetiapine,With alcohol,14
2019,29 Quetiapine,Without alcohol,52
2019,29 Quetiapine,Without other drugs,16
2019,30 Clozapine,On the death certificate,16
2019,30 Clozapine,With alcohol,3
2019,30 Clozapine,Without alcohol,13
2019,30 Clozapine,Without other drugs,8
2019,31 Any antidepressant,On the death certificate,443
2019,31 Any antidepressant,With alcohol,102
2019,31 Any antidepressant,Without alcohol,341
2019,31 Any antidepressant,Without other drugs,129
2019,32 Any tricyclic antidepressants,On the death certificate,184
2019,32 Any tricyclic antidepressants,With alcohol,30
2019,32 Any tricyclic antidepressants,Without alcohol,154
2019,32 Any tricyclic antidepressants,Without other drugs,58
2019,33 Amitriptyline,On the death certificate,148
2019,33 Amitriptyline,With alcohol,22
2019,33 Amitriptyline,Without alcohol,126
2019,33 Amitriptyline,Without other drugs,41
2019,34 Dothiepin,On the death certificate,12
2019,34 Dothiepin,With alcohol,2
2019,34 Dothiepin,Without alcohol,10
2019,34 Dothiepin,Without other drugs,8
2019,35 Monoamine-oxidase inhibitors (BNF 4.3.2),On the death certificate,1
2019,35 Monoamine-oxidase inhibitors (BNF 4.3.2),Without alcohol,1
2019,36 Any SSRI,On the death certificate,142
2019,36 Any SSRI,With alcohol,39
2019,36 Any SSRI,Without alcohol,103
2019,36 Any SSRI,Without other drugs,36
2019,37 Citalopram,On the death certificate,37
2019,37 Citalopram,With alcohol,13
2019,37 Citalopram,Without alcohol,24
2019,37 Citalopram,Without other drugs,12
2019,38 Any other antidepressants,On the death certificate,169
2019,38 Any other antidepressants,With alcohol,42
2019,38 Any other antidepressants,Without alcohol,127
2019,38 Any other antidepressants,Without other drugs,33
2019,39 Mirtazapine,On the death certificate,100
2019,39 Mirtazapine,With alcohol,30
2019,39 Mirtazapine,Without alcohol,70
2019,39 Mirtazapine,Without other drugs,11
2019,40 Venlafaxine,On the death certificate,66
2019,40 Venlafaxine,With alcohol,9
2019,40 Venlafaxine,Without alcohol,57
2019,40 Venlafaxine,Without other drugs,19
2019,41 Any paracetamol (includes dextropropoxyphene mentioned without paracetamol),On the death certificate,211
2019,41 Any paracetamol (includes dextropropoxyphene mentioned without paracetamol),With alcohol,60
2019,41 Any paracetamol (includes dextropropoxyphene mentioned without paracetamol),Without alcohol,151
2019,41 Any paracetamol (includes dextropropoxyphene mentioned without paracetamol),Without other drugs,111
2019,42 Paracetamol,On the death certificate,211
2019,42 Paracetamol,With alcohol,60
2019,42 Paracetamol,Without alcohol,151
2019,42 Paracetamol,Without other drugs,111
2019,43 Paracetamol and dextropropoxyphene compound formulation,On the death certificate,2
2019,43 Paracetamol and dextropropoxyphene compound formulation,Without alcohol,2
2019,44 Paracetamol and codeine compound formulation,On the death certificate,59
2019,44 Paracetamol and codeine compound formulation,With alcohol,16
2019,44 Paracetamol and codeine compound formulation,Without alcohol,43
2019,45 Paracetamol and dihydrocodeine compound formulation,On the death certificate,9
2019,45 Paracetamol and dihydrocodeine compound formulation,With alcohol,1
2019,45 Paracetamol and dihydrocodeine compound formulation,Without alcohol,8
2019,46 Paracetamol not from compound formulation,On the death certificate,143
2019,46 Paracetamol not from compound formulation,With alcohol,43
2019,46 Paracetamol not from compound formulation,Without alcohol,100
2019,46 Paracetamol not from compound formulation,Without other drugs,111
2018,01 All drug poisonings,On the death certificate,4359
2018,01 All drug poisonings,With alcohol,862
2018,01 All drug poisonings,Without alcohol,3497
2018,01 All drug poisonings,Without other drugs,2296
2018,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",On the death certificate,2208
2018,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",With alcohol,484
2018,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",Without alcohol,1724
2018,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",Without other drugs,1015
2018,03 Heroin and Morphine,On the death certificate,1336
2018,03 Heroin and Morphine,With alcohol,315
2018,03 Heroin and Morphine,Without alcohol,1021
2018,03 Heroin and Morphine,Without other drugs,575
2018,04 Methadone,On the death certificate,419
2018,04 Methadone,With alcohol,85
2018,04 Methadone,Without alcohol,334
2018,04 Methadone,Without other drugs,107
2018,05 Tramadol,On the death certificate,220
2018,05 Tramadol,With alcohol,51
2018,05 Tramadol,Without alcohol,169
2018,05 Tramadol,Without other drugs,73
2018,06 Codeine not from compound formulation,On the death certificate,169
2018,06 Codeine not from compound formulation,With alcohol,48
2018,06 Codeine not from compound formulation,Without alcohol,121
2018,06 Codeine not from compound formulation,Without other drugs,51
2018,07 Dihydrocodeine not from compound formulation,On the death certificate,97
2018,07 Dihydrocodeine not from compound formulation,With alcohol,18
2018,07 Dihydrocodeine not from compound formulation,Without alcohol,79
2018,07 Dihydrocodeine not from compound formulation,Without other drugs,22
2018,08 Oxycodone,On the death certificate,79
2018,08 Oxycodone,With alcohol,11
2018,08 Oxycodone,Without alcohol,68
2018,08 Oxycodone,Without other drugs,33
2018,09 Fentanyl,On the death certificate,74
2018,09 Fentanyl,With alcohol,13
2018,09 Fentanyl,Without alcohol,61
2018,09 Fentanyl,Without other drugs,30
2018,10 Fentanyl analogues,On the death certificate,31
2018,10 Fentanyl analogues,With alcohol,4
2018,10 Fentanyl analogues,Without alcohol,27
2018,10 Fentanyl analogues,Without other drugs,11
2018,11 Buprenorphine,On the death certificate,26
2018,11 Buprenorphine,With alcohol,12
2018,11 Buprenorphine,Without alcohol,14
2018,11 Buprenorphine,Without other drugs,6
2018,12 Other specified opiate,On the death certificate,12
2018,12 Other specified opiate,With alcohol,2
2018,12 Other specified opiate,Without alcohol,10
2018,12 Other specified opiate,Without other drugs,3
2018,13 Unspecified opiate,On the death certificate,181
2018,13 Unspecified opiate,With alcohol,25
2018,13 Unspecified opiate,Without alcohol,156
2018,13 Unspecified opiate,Without other drugs,104
2018,14 Cocaine,On the death certificate,637
2018,14 Cocaine,With alcohol,162
2018,14 Cocaine,Without alcohol,475
2018,14 Cocaine,Without other drugs,196
2018,15 Any amphetamine,On the death certificate,210
2018,15 Any amphetamine,With alcohol,23
2018,15 Any amphetamine,Without alcohol,187
2018,15 Any amphetamine,Without other drugs,110
2018,16 Amphetamine,On the death certificate,100
2018,16 Amphetamine,With alcohol,13
2018,16 Amphetamine,Without alcohol,87
2018,16 Amphetamine,Without other drugs,45
2018,17 Ecstasy/MDMA,On the death certificate,92
2018,17 Ecstasy/MDMA,With alcohol,11
2018,17 Ecstasy/MDMA,Without alcohol,81
2018,17 Ecstasy/MDMA,Without other drugs,55
2018,18 PMA/PMMA,On the death certificate,1
2018,18 PMA/PMMA,Without alcohol,1
2018,19 Cannabis,On the death certificate,22
2018,19 Cannabis,With alcohol,5
2018,19 Cannabis,Without alcohol,17
2018,19 Cannabis,Without other drugs,2
2018,20 New psychoactive substance,On the death certificate,126
2018,20 New psychoactive substance,With alcohol,32
2018,20 New psychoactive substance,Without alcohol,94
2018,20 New psychoactive substance,Without other drugs,59
2018,21 Any benzodiazepine,On the death certificate,420
2018,21 Any benzodiazepine,With alcohol,112
2018,21 Any benzodiazepine,Without alcohol,308
2018,21 Any benzodiazepine,Without other drugs,22
2018,22 Diazepam,On the death certificate,255
2018,22 Diazepam,With alcohol,75
2018,22 Diazepam,Without alcohol,180
2018,22 Diazepam,Without other drugs,8
2018,23 Temazepam,On the death certificate,18
2018,23 Temazepam,With alcohol,3
2018,23 Temazepam,Without alcohol,15
2018,23 Temazepam,Without other drugs,2
2018,24 Zopiclone/Zolpidem,On the death certificate,143
2018,24 Zopiclone/Zolpidem,With alcohol,39
2018,24 Zopiclone/Zolpidem,Without alcohol,104
2018,24 Zopiclone/Zolpidem,Without other drugs,22
2018,25 Pregabalin,On the death certificate,187
2018,25 Pregabalin,With alcohol,42
2018,25 Pregabalin,Without alcohol,145
2018,25 Pregabalin,Without other drugs,4
2018,26 Gabapentin,On the death certificate,93
2018,26 Gabapentin,With alcohol,18
2018,26 Gabapentin,Without alcohol,75
2018,26 Gabapentin,Without other drugs,5
2018,27 Barbiturates,On the death certificate,28
2018,27 Barbiturates,With alcohol,3
2018,27 Barbiturates,Without alcohol,25
2018,27 Barbiturates,Without other drugs,27
2018,28 Any antipsychotics,On the death certificate,137
2018,28 Any antipsychotics,With alcohol,27
2018,28 Any antipsychotics,Without alcohol,110
2018,28 Any antipsychotics,Without other drugs,44
2018,29 Quetiapine,On the death certificate,59
2018,29 Quetiapine,With alcohol,15
2018,29 Quetiapine,Without alcohol,44
2018,29 Quetiapine,Without other drugs,15
2018,30 Clozapine,On the death certificate,23
2018,30 Clozapine,With alcohol,2
2018,30 Clozapine,Without alcohol,21
2018,30 Clozapine,Without other drugs,15
2018,31 Any antidepressant,On the death certificate,518
2018,31 Any antidepressant,With alcohol,122
2018,31 Any antidepressant,Without alcohol,396
2018,31 Any antidepressant,Without other drugs,157
2018,32 Any tricyclic antidepressants,On the death certificate,228
2018,32 Any tricyclic antidepressants,With alcohol,47
2018,32 Any tricyclic antidepressants,Without alcohol,181
2018,32 Any tricyclic antidepressants,Without other drugs,64
2018,33 Amitriptyline,On the death certificate,186
2018,33 Amitriptyline,With alcohol,35
2018,33 Amitriptyline,Without alcohol,151
2018,33 Amitriptyline,Without other drugs,46
2018,34 Dothiepin,On the death certificate,15
2018,34 Dothiepin,With alcohol,3
2018,34 Dothiepin,Without alcohol,12
2018,34 Dothiepin,Without other drugs,7
2018,36 Any SSRI,On the death certificate,158
2018,36 Any SSRI,With alcohol,44
2018,36 Any SSRI,Without alcohol,114
2018,36 Any SSRI,Without other drugs,49
2018,37 Citalopram,On the death certificate,53
2018,37 Citalopram,With alcohol,13
2018,37 Citalopram,Without alcohol,40
2018,37 Citalopram,Without other drugs,16
2018,38 Any other antidepressants,On the death certificate,167
2018,38 Any other antidepressants,With alcohol,43
2018,38 Any other antidepressants,Without alcohol,124
2018,38 Any other antidepressants,Without other drugs,44
2018,39 Mirtazapine,On the death certificate,97
2018,39 Mirtazapine,With alcohol,31
2018,39 Mirtazapine,Without alcohol,66
2018,39 Mirtazapine,Without other drugs,14
2018,40 Venlafaxine,On the death certificate,65
2018,40 Venlafaxine,With alcohol,11
2018,40 Venlafaxine,Without alcohol,54
2018,40 Venlafaxine,Without other drugs,28
2018,41 Any paracetamol (includes dextropropoxyphene mentioned without paracetamol),On the death certificate,210
2018,41 Any paracetamol (includes dextropropoxyphene mentioned without paracetamol),With alcohol,37
2018,41 Any paracetamol (includes dextropropoxyphene mentioned without paracetamol),Without alcohol,173
2018,41 Any paracetamol (includes dextropropoxyphene mentioned without paracetamol),Without other drugs,115
2018,42 Paracetamol,On the death certificate,210
2018,42 Paracetamol,With alcohol,37
2018,42 Paracetamol,Without alcohol,173
2018,42 Paracetamol,Without other drugs,115
2018,43 Paracetamol and dextropropoxyphene compound formulation,On the death certificate,1
2018,43 Paracetamol and dextropropoxyphene compound formulation,Without alcohol,1
2018,44 Paracetamol and codeine compound formulation,On the death certificate,73
2018,44 Paracetamol and codeine compound formulation,With alcohol,18
2018,44 Paracetamol and codeine compound formulation,Without alcohol,55
2018,45 Paracetamol and dihydrocodeine compound formulation,On the death certificate,2
2018,45 Paracetamol and dihydrocodeine compound formulation,Without alcohol,2
2018,46 Paracetamol not from compound formulation,On the death certificate,134
2018,46 Paracetamol not from compound formulation,With alcohol,19
2018,46 Paracetamol not from compound formulation,Without alcohol,115
2018,46 Paracetamol not from compound formulation,Without other drugs,115
2017,01 All drug poisonings,On the death certificate,3756
2017,01 All drug poisonings,With alcohol,827
2017,01 All drug poisonings,Without alcohol,2929
2017,01 All drug poisonings,Without other drugs,2028
2017,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",On the death certificate,1985
2017,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",With alcohol,477
2017,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",Without alcohol,1508
2017,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",Without other drugs,952
2017,03 Heroin and Morphine,On the death certificate,1164
2017,03 Heroin and Morphine,With alcohol,293
2017,03 Heroin and Morphine,Without alcohol,871
2017,03 Heroin and Morphine,Without other drugs,535
2017,04 Methadone,On the death certificate,367
2017,04 Methadone,With alcohol,82
2017,04 Methadone,Without alcohol,285
2017,04 Methadone,Without other drugs,104
2017,05 Tramadol,On the death certificate,185
2017,05 Tramadol,With alcohol,37
2017,05 Tramadol,Without alcohol,148
2017,05 Tramadol,Without other drugs,67
2017,06 Codeine not from compound formulation,On the death certificate,156
2017,06 Codeine not from compound formulation,With alcohol,51
2017,06 Codeine not from compound formulation,Without alcohol,105
2017,06 Codeine not from compound formulation,Without other drugs,40
2017,07 Dihydrocodeine not from compound formulation,On the death certificate,94
2017,07 Dihydrocodeine not from compound formulation,With alcohol,30
2017,07 Dihydrocodeine not from compound formulation,Without alcohol,64
2017,07 Dihydrocodeine not from compound formulation,Without other drugs,29
2017,08 Oxycodone,On the death certificate,61
2017,08 Oxycodone,With alcohol,8
2017,08 Oxycodone,Without alcohol,53
2017,08 Oxycodone,Without other drugs,24
2017,09 Fentanyl,On the death certificate,75
2017,09 Fentanyl,With alcohol,7
2017,09 Fentanyl,Without alcohol,68
2017,09 Fentanyl,Without other drugs,32
2017,10 Fentanyl analogues,On the death certificate,31
2017,10 Fentanyl analogues,With alcohol,4
2017,10 Fentanyl analogues,Without alcohol,27
2017,10 Fentanyl analogues,Without other drugs,9
2017,11 Buprenorphine,On the death certificate,23
2017,11 Buprenorphine,With alcohol,8
2017,11 Buprenorphine,Without alcohol,15
2017,11 Buprenorphine,Without other drugs,2
2017,12 Other specified opiate,On the death certificate,9
2017,12 Other specified opiate,With alcohol,2
2017,12 Other specified opiate,Without alcohol,7
2017,12 Other specified opiate,Without other drugs,1
2017,13 Unspecified opiate,On the death certificate,190
2017,13 Unspecified opiate,With alcohol,48
2017,13 Unspecified opiate,Without alcohol,142
2017,13 Unspecified opiate,Without other drugs,109
2017,14 Cocaine,On the death certificate,432
2017,14 Cocaine,With alcohol,102
2017,14 Cocaine,Without alcohol,330
2017,14 Cocaine,Without other drugs,119
2017,15 Any amphetamine,On the death certificate,150
2017,15 Any amphetamine,With alcohol,25
2017,15 Any amphetamine,Without alcohol,125
2017,15 Any amphetamine,Without other drugs,76
2017,16 Amphetamine,On the death certificate,91
2017,16 Amphetamine,With alcohol,17
2017,16 Amphetamine,Without alcohol,74
2017,16 Amphetamine,Without other drugs,39
2017,17 Ecstasy/MDMA,On the death certificate,56
2017,17 Ecstasy/MDMA,With alcohol,8
2017,17 Ecstasy/MDMA,Without alcohol,48
2017,17 Ecstasy/MDMA,Without other drugs,35
2017,18 PMA/PMMA,On the death certificate,1
2017,18 PMA/PMMA,With alcohol,1
2017,19 Cannabis,On the death certificate,29
2017,19 Cannabis,With alcohol,7
2017,19 Cannabis,Without alcohol,22
2017,19 Cannabis,Without other drugs,3
2017,20 New psychoactive substance,On the death certificate,62
2017,20 New psychoactive substance,With alcohol,13
